Origin,Destination,Carrier,Notes,Source,Origin_Airport_Name,Origin_FAA_ID,Origin_ICAO,Origin_Status,Origin_Region,Origin_Owner,Origin_Lat,Origin_Lon,Destination_Airport_Name,Destination_FAA_ID,Destination_ICAO,Destination_Status,Destination_Region,Destination_Owner,Destination_Lat,Destination_Lon
Kotzebue,Kobuk,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529,Kobuk Apt,OBU,PAOB,SubStandard,Northern,DOT&PF Controlled,66.9123417,-156.8973306
Kotzebue,Noatak,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529,Noatak Apt,WTK,PAWN,Standard,Northern,DOT&PF Controlled,67.5610722,-162.9803528
Kotzebue,Noorvik,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529,Noorvik Robert (Bob) Curtis Memorial Apt,D76,PFNO,Standard,Northern,DOT&PF Controlled,66.8175278,-161.02225
Kotzebue,Point Hope,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529,Point Hope Apt,PHO,PAPO,Standard,Northern,DOT&PF Controlled,68.3488347,-166.79935
Kotzebue,Selawik,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529,Selawik Apt,WLK,PASK,Standard,Northern,DOT&PF Controlled,66.6001389,-159.98575
Kotzebue,Shugnak,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529,Shungnak Apt,SHG,PAGH,Standard,Northern,DOT&PF Controlled,66.8880767,-157.1624014
Nome,Brevig Mission,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Brevig Mission Apt,KTS,PFKT,Standard,Northern,DOT&PF Controlled,65.3313333,-166.4657222
Nome,Elim,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Elim Apt,ELI,PFEL,Standard,Northern,DOT&PF Controlled,64.6149722,-162.2705278
Nome,Gambell,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Gambell Apt,GAM,PAGM,Standard,Northern,DOT&PF Controlled,63.7667656,-171.7328236
Nome,Golovin,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,New Golovin Apt,GLV,PAGL,Standard,Northern,DOT&PF Controlled,64.5504553,-163.0071703
